symbol,datetime,open,close,high,low,volume,new york time,per_of_change,typical_mult_volume,Cumulative_TPV,Cumulative_Vol,vwap,buy_condition,order_type,instruction,order_time,fill_time,order_id,quantity,asset_type,order_status,Ticker,price,Manual_order_type,Manual_instruction,Manual_order_time,Manual_fill_time,Manual_order_id,Manual_quantity,Manual_asset_type,Manual_order_status,Manual_Ticker,Manual_price,quoteTime,option_id,right,strike,expiration,description,bid,ask,last,total_volume,daysToExpiration,quoteTime_put
TQQQ,2024-08-19 22:45:00,71.46,71.4,71.46,71.36,273.2,2024-08-19 18:45:00,0.0,19508.30133333333,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:50:00,71.39,71.39,71.4,71.38,32.1,2024-08-19 18:50:00,-0.014,2291.619,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 22:55:00,71.41,71.41,71.43,71.4,27.87,2024-08-19 18:55:00,0.028,1990.2896000000003,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:00:00,71.41,71.46,71.48,71.41,36.47,2024-08-19 19:00:00,0.07,2605.7815,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:05:00,71.44,71.44,71.45,71.4,29.11,2024-08-19 19:05:00,-0.028,2079.3273000000004,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:10:00,71.44,71.33,71.45,71.33,143.24,2024-08-19 19:10:00,-0.154,10223.038800000002,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:15:00,71.33,71.39,71.39,71.33,224.52,2024-08-19 19:15:00,0.084,16023.992400000001,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:20:00,71.38,71.36,71.38,71.35,123.91,2024-08-19 19:20:00,-0.042,8842.630633333332,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:25:00,71.35,71.31,71.35,71.3,64.54,2024-08-19 19:25:00,-0.07,4602.992800000001,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:30:00,71.32,71.34,71.34,71.31,92.63,2024-08-19 19:30:00,0.042,6607.2979,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:35:00,71.35,71.34,71.37,71.34,53.34,2024-08-19 19:35:00,0.0,3805.8090000000007,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:40:00,71.35,71.35,71.37,71.35,257.06,2024-08-19 19:40:00,0.014,18342.944733333334,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:45:00,71.35,71.36,71.37,71.35,76.64,2024-08-19 19:45:00,0.014,5469.0304,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:50:00,71.37,71.32,71.37,71.31,82.89,2024-08-19 19:50:00,-0.056,5912.82,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-19 23:55:00,71.32,71.32,71.36,71.31,219.68,2024-08-19 19:55:00,0.0,15669.7744,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQQQ,2024-08-20 08:00:00,71.9,71.76,71.9,71.57,651.56,2024-08-20 04:00:00,0.617,46745.08626666666,0.0,0.0,0.0,No action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
